"lang"
{
"Language" "Polish"
"Tip_10_6"		"Naciśnij %attack2% patrząc na członka swojej drużyny, by go wzmocnić, przyznając mu ogromną przewagę w walce."
// Stock
"Tip_10_7"		"Parasol nie jest zbyt skuteczny jako broń i należy go używać tylko w nagłych przypadkach. Pozwól członkom swojej drużyny walczyć za ciebie."
"Tip_10_8"		"Parasol przyznaje trafienia minikrytyczne wybranemu członkowi drużyny. Wzmacniaj klasy, które są w stanie zadawać dużą ilość obrażeń."
"Tip_10_9"		"Wzmocnienie minikrytyczne zapewnia Medykom zwiększoną szybkość leczenia oraz ładowania ÜberCharge."
// Double Down
"Tip_10_10"		"Laska z Derby może posłużyć do przyspieszenia członków drużyny. Pozwala im poruszać się i atakować znacznie szybciej."
"Tip_10_11"		"Laska z Derby zwiększa szybkość leczenia Medyków i budowania konstrukcji przez Inżynierów."

// Arena
"Tip_arena_Count"	"9"
"Tip_arena_1"		"W trybie Arena zwracaj uwagę na liczbę graczy widoczną na górze ekranu. Dzięki temu dowiesz się, czy masz przewagę liczebną!"
"Tip_arena_2"		"W trybie Arena istnieje bardzo mało źródeł odnawiania zdrowia, warto więc chronić swoich Medyków i Inżynierów (oraz dzielić się swoją Kanapką)!"
"Tip_arena_3"		"W trybie Arena punkt kontrolny na środku mapy aktywuje się 60 sekund po rozpoczęciu rundy. Wykorzystaj to, by wywabić ukrywających się wrogów!"
"Tip_arena_4"		"W trybie Arena nie odradzasz się, więc nie umieraj!"
"Tip_arena_5"		"W trybie Arena zróżnicuj swoją drużynę! Postaraj się uzupełnić skład swojej drużyny lub przeciwdziałać wrogiej drużynie."
"Tip_arena_6"		"W trybie Arena możesz zmienić klasę tylko na początku meczu, przed otwarciem bram."
"Tip_arena_7"		"W trybie Arena staraj się trzymać swojej drużyny i pomagajcie sobie nawzajem w niebezpieczeństwie. Spóźnienie się na walkę może postawić cię w niekorzystnej sytuacji."
"Tip_arena_8"		"W trybie Arena bardzo ważne jest pozbawianie wrogiej drużyny możliwości leczenia. Atakuj wrogich Medyków i zasobniki, i blokuj dostęp do apteczek, kiedy to tylko możliwe!"
"Tip_arena_9"		"W trybie Arena zdobycie pierwszej krwi zapewnia trafienia krytyczne. Jeśli je zdobędziesz, wykorzystaj to! Jeśli zdobędzie je wróg, nie rzucaj się w oczy i poczekaj, aż się skończą."

// ----------------------------------------------------------------
// Stock weapon strings
// ----------------------------------------------------------------

// Bat
"TF_Weapon_Bat"							"Kij"
"TF_Weapon_Bat_Desc"					"Mam ich mnóstwo. Nie boję się zużyć jednego na tobie."
// Bottle
"TF_Weapon_Bottle"						"Butelka"
"TF_Weapon_Bottle_Desc"					"Nie, nie, to się pije!"
// Fire Axe
"TF_Weapon_FireAxe"						"Topór strażacki"
"TF_Weapon_FireAxe_Desc"				"Naucz cennej lekcji o bezpieczeństwie przeciwpożarowym."
// Kukri
"TF_Weapon_Kukri"						"Kukri"
"TF_Weapon_Kukri_Desc"					"Pocięty przez strzelca wyborowego. To dopiero głupota."
// Knife
"TF_Weapon_Knife"						"Nóż"
"TF_Weapon_Knife_Desc"					"Dla mężczyzny, który lubi obserwować rozwój wydarzeń."
// Fists
"TF_Weapon_Fists"						"Pięści"
"TF_Weapon_Fists_Desc"					"Jeszcze z tobą nie skończyłem!"
// Shovel
"TF_Weapon_Shovel"						"Saperka"
"TF_Weapon_Shovel_Desc"					"W czasie wojny pochowaj swoich wrogów, a w czasach względnego pokoju okradaj ich groby."
// Wrench
"TF_Weapon_Wrench"						"Klucz"
"TF_Weapon_Wrench_Desc"					"Robię wszystko po trochu."
// Bonesaw
"TF_Weapon_Bonesaw"						"Piła do kości"
"TF_Weapon_Bonesaw_Desc"				"Nie martw się, to nie moja krew! ...Po zastanowieniu się, nie jestem już tego taki pewien."
// Shotgun
"TF_Weapon_Shotgun"						"Strzelba"
"TF_Weapon_Shotgun_Desc_Engineer"		"Czasami po prostu trzeba coś zrobić samemu."
"TF_Weapon_Shotgun_Desc_Soldier"		"Moja strzelba nie zgadza się z twoją chęcią do życia, gnido!"
"TF_Weapon_Shotgun_Desc_Heavy"			"Grubemu to wystarczy."
"TF_Weapon_Shotgun_Desc_Pyro"			"Niech to przemówi za siebie."
// Scattergun
"TF_Weapon_Scattergun"					"Dubeltówka"
"TF_Weapon_Scattergun_Desc"				"Spokojnie stary, tylko cię drasnąłem!"
// Sniper Rifle
"TF_Weapon_SniperRifle"					"Karabin snajperski"
"TF_Weapon_SniperRifle_Desc"			"Spełnia swoje zadanie."
// Minigun
"TF_Weapon_Minigun"						"Minigun"
"TF_Weapon_Minigun_Desc"				"Sasza nie słucha się nawet Grubego. Myślisz, że będzie słuchać CIEBIE?"
// SMG
"TF_Weapon_SMG"							"PM"
"TF_Weapon_SMG_Desc"					"No i co ty na to? Oboje jesteśmy bardziej niebezpieczni z bliska."
// Syringe Gun
"TF_Weapon_SyringeGun"					"Pistolet strzykawkowy"
"TF_Weapon_SyringeGun_Desc"				"Och, nadajesz się świetnie na pojemnik na ostrza!"
// Rocket Launcher
"TF_Weapon_RocketLauncher"				"Wyrzutnia rakiet"
"TF_Weapon_RocketLauncher_Desc"			"Doskonała broń dla doskonałego Żołnierza!"
// Grenade Launcher
"TF_Weapon_GrenadeLauncher"				"Granatnik"
"TF_Weapon_GrenadeLauncher_Desc"		"Zostaw to mnie, kolego."
// Stickybomb Launcher
"TF_Weapon_StickybombLauncher"			"Wyrzutnia bomb samoprzylepnych"
"TF_Weapon_StickybombLauncher_Desc"		"Sam wyślę ich prosto do nieba, jeśli będę musiał."
// Flame Thrower
"TF_Weapon_FlameThrower"				"Miotacz ognia"
"TF_Weapon_FlameThrower_Desc"			"Robi się gorąco..."
// Pistol
"TF_Weapon_Pistol"						"Pistolet"
"TF_Weapon_Pistol_Desc_Engineer"		"Zacznij tańczyć, chłopcze."
"TF_Weapon_Pistol_Desc_Scout"			"Wszyscy są poza zasięgiem, póki nie są."
// Revolver
"TF_Weapon_Revolver"					"Rewolwer"
"TF_Weapon_Revolver_Desc"				"Kiedy skradanie się nie wchodzi już w grę."
// PDA: Teleporter (Construction PDA)
"TF_Weapon_ConstructionPDA"				"PDA budowy"
"TF_Weapon_ConstructionPDA_Desc"		"Wszystko, co potrzebuje Inżynier taki jak ja, znajduje się w tym malutkim urządzeniu."
"TF_Weapon_PDATeleporter"				"PDA: teleport"
// Destruction PDA
"TF_Weapon_DestructionPDA"				"PDA destrukcji"
// Disguise Kit
"TF_Weapon_DisguiseKit"					"Zestaw przebrań"
// Medi Gun
"TF_Weapon_Medigun"						"Medigun"
"TF_Weapon_Medigun_Desc"				"Wszyscy macie tę samą grupę krwi, prawda? Plus minus?"
// Invis Watch
"TF_Weapon_InvisWatch"					"Zegarek niewidzialności"
"TF_Weapon_InvisWatch_Desc"				"Elegancki. Szkoda, że go nigdy nie zobaczą."
// Sapper
"TF_Weapon_Sapper"						"Saper"
"TF_Weapon_Sapper_Desc"					"Kto to tam zostawił?"

// ----------------------------------------------------------------
// Achievement weapon strings
// ----------------------------------------------------------------

// Kritzkrieg
"TF_Weapon_Kritzkrieg"				"Kritzkrieg"
"TF_Weapon_Kritzkrieg_Desc"			"No dalej, spraw trochę bólu! Dzięki temu oboje utrzymamy się na rynku, ja?"
// Überspritze
"TF_Weapon_Uberspritze"				"Überstrzykawka"
"TF_Weapon_Uberspritze_Desc"		"Och, przestań się wiercić, to dla szczytnego celu!"
// Flare Gun
"TF_Weapon_FlareGun"				"Pistolet sygnałowy"
"TF_Weapon_FlareGun_Desc"			"Ktoś się pali! Szybko, wyślij sygnał ratunkowy!"
// Sandvich
"TF_Weapon_Sandvich"				"Kanapka"
"TF_Weapon_Sandvich_Desc"			"Podejdź bliżej! Dam ci spróbować."
// Huntsman
"TF_Weapon_Huntsman"				"Łowca"
"TF_Weapon_Huntsman_Desc"			"Co się stało z rycerskością?"
// Gunboats
"TF_Weapon_Gunboats"				"Kanonierki"
"TF_Weapon_Gunboats_Desc_Soldier"	"Ołowiane wkładki do butów! Idealne dla każdego, kto chce oszukać wojskowe badania lekarskie."
"TF_Weapon_Gunboats_Desc_Demoman"	"Buty tak dobre, że nawet nie zwrócisz uwagi na śruby wkręcone w twoje stopy."

// ----------------------------------------------------------------
// Death & Taxes weapon strings
// ----------------------------------------------------------------

// Umbrella
"TF_Weapon_Umbrella"				"Parasol"
"TF_Weapon_Umbrella_Desc"			"Człowiek z klasą musi pozostać suchy."
// Nail Gun
"TF_Weapon_NailGun"					"Gwoździarka"
"TF_Weapon_NailGun_Desc"			"Tak, dość szybko straciłem tę pracę."
// R.P.G.
"TF_Weapon_RPG"						"R.P.G."
"TF_Weapon_RPG_Desc"				"Widzisz tę rakietę wystającą z przodu, synu? Ona pragnie wolności. I przysięgam na Boga, że ją dostanie."
// Hunting Revolver
"TF_Weapon_HuntingRevolver"			"Rewolwer myśliwski"
"TF_Weapon_HuntingRevolver_Desc"	"Z myślą o bardziej agresywnym podejściu."
// Fishwhacker
"TF_Weapon_Fishwhacker"				"Śledziobij"
"TF_Weapon_Fishwhacker_Desc"		"Trzymaj ją mocno, kolego. Ma tendencję do rzucania drzazgami."
// Tranquilizer Gun
"TF_Weapon_TranquilizerGun"			"Pistolet usypiający"
"TF_Weapon_TranquilizerGun_Desc"	"W twoich snach, chéri."
// Dynamite Pack
"TF_Weapon_DynamitePack"			"Paczka dynamitu"
"TF_Weapon_DynamitePack_Desc"		"Jutro będziesz w kawałkach."
// Coilgun
"TF_Weapon_Coilgun"					"Cewkownik"
"TF_Weapon_Coilgun_Desc"			"Bez steku, ale za to dużo skwierczenia."
// Mine Layer
"TF_Weapon_MineLayer"				"Rozstawiacz min"
"TF_Weapon_MineLayer_Desc"			"Ej, miej oczy szeroko otwarte! Heh..."
// Shock Therapy
"TF_Weapon_ShockTherapy"			"Szokoterapia"
"TF_Weapon_ShockTherapy_Desc"		"STRZAŁ!"

// ----------------------------------------------------------------
// Fight or Flight weapon strings
// ----------------------------------------------------------------

// L'escampette
"TF_Weapon_Lescampette"					"L'escampette"
"TF_Weapon_Lescampette_Desc"			"Zrób to szybko."
// Chekhov's Punch
"TF_Weapon_ChekhovsPunch"				"Cios Czechowa"
"TF_Weapon_ChekhovsPunch_Desc"			"Nie płacz! Masz swoje miejsce w życiu Grubego."
// Twin Barrel
"TF_Weapon_TwinBarrel"					"Dwubeltówka"
"TF_Weapon_TwinBarrel_Desc"				"(Modyfikacje dokonane po zakupie skutkują unieważnieniem gwarancji)."
// Anti-Aircraft Cannon
"TF_Weapon_AntiAircraftCannon"			"Działo przeciwlotnicze"
"TF_Weapon_AntiAircraftCannon_Desc"		"Którą część ciebie Gruby powinien wysłać do twojej mamusi?"
// PDA: Jump Pad
"TF_Weapon_PDAJumpPad"					"PDA: wyskocznia"
"TF_Weapon_PDAJumpPad_Desc"				"Stary, zaufaj mi. To cię zaskoczy."
// Harvester
"TF_Weapon_Harvester"					"Żniwiarz"
"TF_Weapon_Harvester_Desc"				"Przeto nigdy nie pytaj, komu bije dzwon."
// Brick
"TF_Weapon_Brick"						"Cegła"
"TF_Weapon_Brick_Desc"					"Nie sądziłem, że jesteś AŻ TAK wolny."

// ----------------------------------------------------------------
// Double Down weapon strings
// ----------------------------------------------------------------

// Rejuvenator
"TF_Weapon_Rejuvenator"				"Rewitalizator"
"TF_Weapon_Rejuvenator_Desc"		"Staraj się unikać kontaktu z ustami i oczami."
// Admiralty Anchor
"TF_Weapon_AdmiraltyAnchor"			"Kotwica admiralicji"
"TF_Weapon_AdmiraltyAnchor_Desc"	"W mojej jednostce nie ma miejsca na prostackie żarty o marynarce wojennej."
// Derby Cane
"TF_Weapon_DerbyCane"				"Laska z Derby"
"TF_Weapon_DerbyCane_Desc"			"Czujesz się zmotywowany, chłopcze? Mam taką nadzieję."
// Cyclops
"TF_Weapon_Cyclops"					"Cyklop"
"TF_Weapon_Cyclops_Desc"			"W krainie ślepców jesteś królem."

// ----------------------------------------------------------------
// Miscellaneous weapon types
// ----------------------------------------------------------------

"TF_Weapon_Anchor"					"Kotwica"
"TF_Weapon_Boots"					"Obuwie"
"TF_Weapon_Bow"						"Łuk"
"TF_Weapon_Cane"					"Laska"
"TF_Weapon_Chains"					"Łańcuchy"
"TF_Weapon_CigaretteCase"			"...Papierośnica?"
"TF_Weapon_Club"					"Maczuga"
"TF_Weapon_DoubleBarrelShotgun"		"Strzelba dwulufowa"
"TF_Weapon_EMPGrenadeLauncher"		"Wyrzutnia granatów elektromagnetycznych"
"TF_Weapon_Grenade"					"Granat"
"TF_Weapon_HealGrenadeLauncher"		"Wyrzutnia granatów leczniczych"
"TF_Weapon_LunchBox"				"Artykuł spożywczy"
"TF_Weapon_PDA"						"PDA"
"TF_Weapon_ProximityMineLauncher"	"Wyrzutnia min zbliżeniowych"
"TF_Weapon_Scythe"					"Kosa"
"TF_Weapon_Syringe"					"Strzykawka"
"TF_Weapon_Taser"					"Paralizator"
"TF_Weapon_Throwable"				"Do rzucania"

// ----------------------------------------------------------------
// Weapon meters
// ----------------------------------------------------------------

"TF_Meter_Airtime"		"KOTWICA"
"TF_Meter_Brick"		"CEGŁA"
"TF_Meter_Cloak"		"ENERGIA"
"TF_Meter_Crits"		"KRYTYKI"
"TF_Meter_Dynamite"		"DYNAMIT"
"TF_Meter_Harvest"		"ŻNIWA"
"TF_Meter_LunchBox"		"JADŁO"
"TF_Meter_Therapy"		"TERAPIA"

// ----------------------------------------------------------------
// Buildings
// ----------------------------------------------------------------

// Building Status
"Building_hud_hauling"					"Przenoszenie..."
"Building_hud_upgrading"				"Ulepszanie..."
"Building_hud_jumppad_a_not_built"		"Wyskocznia A\nniezbudowana"
"Building_hud_jumppad_b_not_built"		"Wyskocznia B\nniezbudowana"

// Jump Pad
"TF_Object_Jump"			"Wyskocznia"
"TF_Object_Jump_A"			"Wyskocznia A"
"TF_Object_Jump_B"			"Wyskocznia B"
"TF_JumpPad_Mode_A"			"A"
"TF_JumpPad_Mode_B"			"B"

// ----------------------------------------------------------------
// Weapon attributes
// ----------------------------------------------------------------

"Attrib_CritVsBurning"									"Trafienia krytyczne, gdy wróg płonie"
"Attrib_RocketJumpDmgReduction"							"%s1% obrażeń od wybuchu podczas rakietowych skoków"
"Attrib_Scattergun_HasKnockback"						"Odrzucenie wroga i strzelca"


"Attrib_RocketGravity"									"Rakiety lecą po łuku"
"Attrib_CreatesEarthquakeFallDamage"					"Gdy broń jest dobyta, wywołuje trzęsienie ziemi po otrzymaniu obrażeń od upadku"
"Attrib_TakeProjectileCritsAirborne"					"Noszący otrzymuje obrażenia krytyczne od pocisków, gdy znajduje się w powietrzu"
"Attrib_Gravity_Active_Increased"						"Gdy broń jest dobyta, +%s1% siły grawitacji"
"Attrib_TeleporterJumpPad"								"Zamienia wejście i wyjście teleportu na wyskocznie"
"Attrib_Mod_Horizontal_Spread"							"Wystrzeliwuje śrut ze stałym, szerokim rozrzutem"
"Attrib_ApplySelfKnockback"								"Stosuje odwrotny efekt samoodrzucenia przy strzale"
"Attrib_WeaponEnemyKnockback_Bonus"						"+%s1% siły odrzutu wroga"
"Attrib_LifestealCrit"									"Przy trafieniu we wroga: Ukradnij zdrowie swojej ofierze, gdy wskaźnik jest pełny"
"Attrib_FlatHealOnAfterburn_Active"						"Gdy broń jest dobyta, +%s1 pkt. przywracanego zdrowia od podpalenia na instancję"
"Attrib_RememberTargetsRemainingAfterburn"				"Śledzi pozostały czas trwania podpalenia martywch wrogów"
"Attrib_OnDeathRemoveTargetsAfterburn"					"Podpaleni wrogowie zostają ugaszeni po śmierci noszącego"
"Attrib_Explosive_Bullets"								"Wystrzeliwuje wybuchowe pociski"
"Attrib_CannotUseStoredCrits"							"Przechowywane trafienia krytyczne nie mogą być użyte z tą bronią"
"Attrib_GainStoredCritsOnHit"							"Przy trafieniu we wroga: Zachowaj %s1 trafienie krytyczne"
"Attrib_AlwaysCritsFullStoredCrits"						"Zgromadzone trafienia krytyczne nie mogą być użyte z tą bronia, chyba że posiada maks. ilość ładunków"
"Attrib_LoseStoredCritsOnMiss"							"Przy chybieniu: Tracisz %s1 zgromadzone trafienie krytyczne"
"Attrib_MeleeTakenBecomesCritWearer"					"Noszący otrzymuje obrażenia krytyczne od broni do walki wręcz"
"Attrib_MoveSpeed_Bonus_Cloaked"						"+%s1% szybkości poruszanie się będąc niewidzialnym"
"Attrib_LoseCloakOnDamage"								"-%s1% zapasu energii niewidzialności przy otrzymaniu obrażeń będąc niewidzialnym"
"Attrib_TranqOnHit"										"Przy trafieniu we wroga: Nałóż na ofiarę efekt ślepoty barw i spowolnij jej szybkość ataku oraz poruszania się na %s1 s"
"Attrib_FishwhackerSweep"								"Odrzuca pobliskich wrogów"
"Attrib_SelfKnockbackAffectedByDamageBoostModifier"		"Siła samoodrzutu jest zależna od zwiększonych obrażeń"
"Attrib_ApplySelfKnockbackSwing"						"Stosuje odwrotny efekt samoodrzucenia podczas zamachu"
"Attrib_AirblastSelfKnockback"							"Sprężone powietrze odpycha noszącego"
"Attrib_ProximityMine"									"Miny zbliżeniowe eksplodują w pobliżu wrogów"
"Attrib_AltFire_FizzleMines"							"Atak alternatywny: zniszcz rozstawione miny"
"Attrib_NoStickyChargeTime"								"Brak czasu ładowania bomb samoprzylepnych"
"Attrib_BlastSplashDamage_Decreased"					"%s1% obrażeń od pola rażenia"
"Attrib_BurningTargetsChargeCrit"						"Gdy broń jest dobyta, palący się wrogowie zapełniają wskaźnik"
"Attrib_LimitedRange"									"Ograniczony zasięg ataku"
"Attrib_GainStoredCritsOnKill"							"Przy zabiciu wroga: Zachowaj %s1 trafienie krytyczne"
"Attrib_HealOnKillCrit"									"+%s1 przywracanego zdrowia przy zabiciu wroga trafieniem krytycznym"
"Attrib_InstantReloadOnDirectHit"						"Przy bezpośrednim trafieniu we wroga: Natychmiast przeładuj %s1 amunicji"
"Attrib_InstantReloadOnHit"								"Przy trafieniu we wroga: Natychmiast przeładuj %s1 amunicji"
"Attrib_InstantReloadOnDirectHitKill"					"Przy zabiciu wroga bezpośrednim trafieniem: Natychmiast przeładuj %s1 amunicji"
"Attrib_InstantReloadOnKill"							"Przy zabiciu wroga: Natychmiast przeładuj %s1 amunicji"
"Attrib_ViewPunchOnHit"									"Przy trafieniu we wroga: Wstrząśnij widokiem ofiary"
"Attrib_FlinchDecrease"									"%s1% miejsze drgania"
"Attrib_FlinchIncrease"									"+%s1% większe drgania"
"Attrib_FlinchDecreaseWearer"							"%s1% miejsze drgania dla noszącego"
"Attrib_FlinchIncreaseWearer"							"+%s1% większe drgania większe drgania"
"Attrib_FlinchDecreaseAiming"							"%s1% miejsze drgania podczas celowania"
"Attrib_FlinchIncreaseAiming"							"+%s1% większe drgania podczas celowania"
"Attrib_CritVsBleed"									"Zadawane obrażenia są krytyczne, gdy wróg krwawi"
"Attrib_MinicritWhileDisguised"							"Zadawane obrażenia są minikrytyczne, gdy noszący jest przebrany"
"Attrib_TakeMinicritsWhileDisguised"					"Otrzymywane obrażenia są minikrytyczne, gdy noszący jest przebrany"
"Attrib_ObjectivesGiveMiniCrits"						"Zadawane obrażenia są minikrytyczne, gdy wrogowie przejmują, bronią lub przenoszą cel mapy"
"Attrib_HeadshotIsMinicrit"								"Strzały w głowę zadają obrażenia minikrytyczne"
"Attrib_BuildingsMaxLevel"								"Konstrukcje posiadają %s1 maks. poziom"
"Attrib_UpgradeCost"									"Konstrukcje wymagają %s1 metalu, by je ulepszyć"
"Attrib_Dispenser_Build_Rate"							"%s1% zwiększona szybkość budowania zasobnika"
"Attrib_JumpPad_Build_Rate"								"%s1% zwiększona szybkość budowania wyskoczni"
"Attrib_DispenserBuildCost"								"%s1% kosztu budowy zasobnika"
"Attrib_SentrygunBuildCost"								"%s1% kosztu budowy działka strażniczego"
"Attrib_JumpPadBuildCost"								"%s1% kosztu budowy wyskoczni"
"Attrib_NoPrimaryAmmoFromDispensersAlways"				"Zasobniki nie przyznają amunicji"
"Attrib_MetalOnSentryKill"								"Przy zabiciu wroga działkiem: +%s1 metalu"
"Attrib_SentryKnockback_Increased"						"+%s1% siły odpychania przez działko strażnicze"
"Attrib_SentryKnockback_Decreased"						"%s1% siły odpychania przez działko strażnicze"
"Attrib_SentryTurnRate_Increased"						"+%s1% szybkości obrotu działka strażniczego"
"Attrib_SentryTurnRate_Decreased"						"%s1% szybkości obrotu działka strażniczego"
"Attrib_HealingMedigunReceivedBonus"					"+%s1% przyznawanego zdrowia z medigunów dla noszącego"
"Attrib_HealingMedigunReceivedPenalty"					"%s1% przyznawanego zdrowia z medigunów dla noszącego"
"Attrib_HealingMedigunReceivedActiveBonus"				"Gdy broń jest dobyta, +%s1% przyznawanego zdrowia z medigunów"
"Attrib_HealingMedigunReceivedActivePenalty"			"Gdy broń jest dobyta, %s1% przyznawanego zdrowia z medigunów"
"Attrib_HealingDispenserReceivedBonus"					"+%s1% przyznawanego zdrowia z zasobników dla noszącego"
"Attrib_HealingDispenserReceivedPenalty"				"%s1% przyznawanego zdrowia z zasobników dla noszącego"
"Attrib_HealingDispenserReceivedActiveBonus"			"Gdy broń jest dobyta, +%s1% przyznawanego zdrowia z zasobników"
"Attrib_HealingDispenserReceivedActivePenalty"			"Gdy broń jest dobyta, %s1% przyznawanego zdrowia z zasobników"
"Attrib_DispenserCanOverhealOnWearer"					"Zasobniki nadleczają noszącego"
"Attrib_DispenserCanOverhealOnActive"					"Gdy broń jest dobyta, zasobniki nadleczają"
"Attrib_EverythingCanOverhealOnWearer"					"Noszący jest nadleczany ze wszystkich źródeł leczenia"
"Attrib_EverythingCanOverhealOnActive"					"Gdy broń jest dobyta, wszystkie źródła leczenia nadleczają"
"Attrib_NoCritHeals"									"Szybkość leczenia nie zwiększa się podczas leczenia pacjenta, który przez ostatni czas nie otrzymał obrażeń"
"Attrib_HealthKitsCanOverhealOnWearer"					"Apteczki nadleczają noszącego"
"Attrib_HealthKitsCanOverhealOnActive"					"Gdy broń jest dobyta, apteczki nadleczają"
"Attrib_HealingReceivedActiveBonus"						"Gdy broń jest dobyta, +%s1% przyznawanego zdrowia od leczących"
"Attrib_HealingReceivedActivePenalty"					"Gdy broń jest dobyta, %s1% przyznawanego zdrowia od leczących"
"Attrib_HealthFromPacks_Active_Increased"				"Gdy broń jest dobyta, +%s1% przyznawanego zdrowia z apteczek"
"Attrib_HealthFromPacks_Active_Decreased"				"Gdy broń jest dobyta, %s1% przyznawanego zdrowia z apteczek"
"Attrib_DamageDelaysRegeneration"						"Otrzymanie obrażeń opóźnia regenerację zdrowia o %s1 s"
"Attrib_DestroyGrenadesDetonateOwn"						"Wybuch niszczy wrogie materiały wybuchowe i detonuje twoje własne"
"Attrib_HoldFirePreventDetonation"						"Przytrzymanie ataku podstawowego zapobiega detonacji granatu"
"Attrib_MiniCritAirborneEnemies"						"Zadawane obrażenia są minikrytyczne, gdy wróg znajduje się w powietrzu"
"Attrib_CritAirborneEnemies"							"Zadawane obrażenia są krytyczne, gdy wróg znajduje się w powietrzu"
"Attrib_ModCritAirborneDirectHitOnly"					"Zadawane obrażenia są krytyczne, gdy znajdujący się w powietrzu wróg zostanie bezpośrednio trafiony"
"Attrib_ObjectivesGiveCrits"							"Zadawane obrażenia są krytyczne, gdy wrogowie przejmują, bronią lub przenoszą cel mapy"
"Attrib_AddAmmoOnDirectHit"								"Przy bezpośrednim trafieniu we wroga: Otrzymaj %s1 amunicji"
"Attrib_AddAmmoOnDirectHitKill"							"Przy zabiciu wroga bezpośrednim trafieniem: Otrzymaj %s1 amunicji"
"Attrib_AddAmmoOnKill"									"Przy zabiciu wroga: Otrzymaj %s1 amunicji"
"Attrib_MinicritVsWet"									"Zadawane obrażenia są minikrytyczne, gdy wróg jest mokry"
"Attrib_TakeMinicritsProjectileAirborne"				"Noszący otrzymuje obrażenia minikrytyczne od pocisków, gdy znajduje się w powietrzu"
"Attrib_HealOnSmack"									"Przy pełnym naładowaniu, trafieni sojusznicy zostaną w pełni wyleczeni"
"Attrib_MultDamageCrit"									"Trafienia krytyczne zadają o %s1% większe obrażenia"
"Attrib_DropTeamHealthPackOnKill"						"Po zabiciu wroga upuszczana jest drużynowa apteczka"
"Attrib_PassiveAmmoHolstered"							"Pasywnie przeładowuje amunicję, gdy broń nie jest dobyta"
"Attrib_Backstab"										"Zaatakuj wroga od tyłu, by go dźgnąć w plecy i zabić jednym trafieniem."
"Attrib_UpgradeRepairBuildings"							"Przyspiesza wznoszenie, ulepsza i naprawia sojusznicze konstrukcje przy uderzaniu ich."
"Attrib_AltFire_DetonateStickybombs"					"Atak alternatywny: detonacja wszystkich rozstawionych bomb samoprzylepnych"
"Attrib_AltFire_Airblast"								"Atak alternatywny: wypuszcza podmuch sprężonego powietrza\nPodmuch odpycha wrogów oraz wrogie pociski i gasi podpalonych sojuszników."
"Attrib_AltFire_Cloak"									"Atak alternatywny: włącza niewidzialność"
"Attrib_SapBuildings"									"Dezaktywuje i stopniowo niszczy wrogie konstrukcje.\nUżycie nie usuwa twojego przebrania."
"Attrib_ReloadNotActive"								"Broń jest przeładowywana automatycznie, gdy nie jest dobyta."
"Attrib_Sandvich"										"Zjedz, by odzyskać do 120 punktów zdrowia.\nAtak alternatywny: podziel się kanapką z towarzyszem (działa jak średnia apteczka)"
"Attrib_AltFire_MinicritBoost"							"Atak alternatywny: przyznaj swojemu sojusznikowi trafienia minikrytyczne"
"Attrib_SplitsIntoBomblets"								"Po wybuchu dzieli się na cztery małe ładunki"
"Attrib_DisabledByWrench"								"Może zostać rozbrojona przy pomocy klucza"
"Attrib_Coilgun"										"W pełni naładowane strzały rykoszetują od ścian, a przeciążenie broni spowoduje eksplozję."
"Attrib_DamageAffectedByCharge"							"Zadawane obrażenia zależą od aktualnego poziomu naładowania"
"Attrib_JumpPadNoUpgrade"								"Wyskocznie nie mogą być ulepszane."
"Attrib_AltFire_HasteBoost"								"Atak alternatywny: zwiększa szybkość ataku i ruchu swojego sojusznika"
"Attrib_AltFire_UberBubble"								"Atak alternatywny: rozmieszcza urządzenie generujące pole, które zapewnia niezniszczalność w jego zasięgu"

// ----------------------------------------------------------------
// Map strings
// ----------------------------------------------------------------

// cp_amaranth
"Amaranth_cap_A"		"magazyny"
"Amaranth_cap_B"		"centrum logistyczne RED"

// 4dom_hydro
"Hydro_dom_cap_warehouse"		"A, magazyn"
"Hydro_dom_cap_radar_dish"		"B, radar"
"Hydro_dom_cap_power_plant"		"C, elektrownię"
"Hydro_dom_cap_dam"				"D, tamę"

// vip_mineside
"vip_mineside_description"	"Cel:
Drużyna RED wygrywa, jeśli powstrzyma VIP-a przed dotarciem do strefy ucieczki. Drużyna BLU wygrywa, jeśli odeskortuje VIP-a do strefy ucieczki.

Inne uwagi:
Strefa ucieczki nie może zostać otwarta, dopóki nie dostarczysz urządzenia w walizce do pokoju kontrolnego przy bramie strefy ucieczki.

Jeśli drużyna BLU dostarczy urządzenie w walizce, licznik bramy zacznie odliczać 60 sekund, po czym brama ponownie się zamknie."

"Mineside_setup_goal_red"	"Zabij VIP-a, by nie dotarł do strefy ucieczki. Powstrzymaj go przed zdobyciem urządzenia."
"Mineside_setup_goal_blu"	"Eskortuj VIP-a do strefy ucieczki. Dostarcz urządzenie do pokoju kontrolnego, by otworzyć bramę."

"Mineside_escape_zone"		"tunel ewakuacyjny"

// dom_oilcanyon
"Oilcanyon_cap_A"		"punkt A, kanion"
"Oilcanyon_cap_B"		"punkt B, działo laserowe"
"Oilcanyon_cap_C"		"punkt C, zakład rafineryjny"

// vip_trainyard
"Trainyard_escape_zone"		"środek ucieczki"

// vip_harbor
"Harbor_cap_1"			"dok załadunkowy"
"Harbor_cap_2"			"wybrzeże"
