"lang"
{
"Language" "Spanish"
// SMG
"TF_Weapon_SMG"							"Metralleta"
"TF_Weapon_SMG_Desc"					"Si crees que te falta un poco de espacio personal, tener algo como esto a mano resulta conveniente."
// Syringe Gun
"TF_Weapon_SyringeGun"					"Pistola de Jeringas"
"TF_Weapon_SyringeGun_Desc"				"La medicina \"convencional\" se ha vuelto un poco dolorosa."
// Rocket Launcher
"TF_Weapon_RocketLauncher"				"Lanzacohetes"
"TF_Weapon_RocketLauncher_Desc"			"La arma perfecta para el Soldado perfecto."
// Grenade Launcher
"TF_Weapon_GrenadeLauncher"				"Lanzagranadas"
"TF_Weapon_GrenadeLauncher_Desc"		"\"No te alteres tío, seré amable.\""
// Stickybomb Launcher
"TF_Weapon_StickybombLauncher"			"Lanzabombas Lapa"
"TF_Weapon_StickybombLauncher_Desc"		"\"KA-BOOOM!\""
// Flame Thrower
"TF_Weapon_FlameThrower"				"Lanzallamas"
"TF_Weapon_FlameThrower_Desc"			"Las cosas se están calentando..."
// Pistol
"TF_Weapon_Pistol"						"Pistola"
"TF_Weapon_Pistol_Desc_Engineer"		"\"¡Empieza a bailar, chico!\""
"TF_Weapon_Pistol_Desc_Scout"			"\"Todas estas balas, van a ir derechitas a tu cabeza\""
// Revolver
"TF_Weapon_Revolver"					"Revólver"
"TF_Weapon_Revolver_Desc"				"Cuando el sigilo deja de ser una opción."
// PDA: Teleporter (Construction PDA)
"TF_Weapon_ConstructionPDA"				"PDA de Construcción"
"TF_Weapon_ConstructionPDA_Desc"		"\"Todo lo que un buen ingeniero necesita, esta en este amiguito.\""
"TF_Weapon_PDATeleporter"				"PDA: Teleportador"
// Destruction PDA
"TF_Weapon_DestructionPDA"				"PDA de Destrucción"
// Disguise Kit
"TF_Weapon_DisguiseKit"					"Kit de Disfraces"
// Medi Gun
"TF_Weapon_Medigun"						"Pistola Médica"
"TF_Weapon_Medigun_Desc"				"Incluso los Dioses sufrirán las consecuencias de lo que han permitido ser creado en este mundo."
// Invis Watch
"TF_Weapon_InvisWatch"					"Reloj de Invisibilidad"
"TF_Weapon_InvisWatch_Desc"				"Con estilo. Una pena que nunca lo vean."
// Sapper
"TF_Weapon_Sapper"						"Zapador"
"TF_Weapon_Sapper_Desc"					"\"¿Quién dejó eso ahí?\""

// ----------------------------------------------------------------
// Achievement weapon strings
// ----------------------------------------------------------------

// Kritzkrieg
"TF_Weapon_Kritzkrieg"		"Kritzkrieg"
"TF_Weapon_Kritzkrieg_Desc"	"¡Sobrecarga el arma de tu paciente a niveles críticos!"
// Überspritze
"TF_Weapon_Uberspritze"			"Überspritze"
"TF_Weapon_Uberspritze_Desc"	"¡Este doctor tiene una segunda opinión!"
// Flare Gun
"TF_Weapon_FlareGun"		"Pistola de Bengalas"
"TF_Weapon_FlareGun_Desc"	"Envía una señal de socorro en nombre de ese tipo al que acabas de prender fuego."
// Sandvich
"TF_Weapon_Sandvich"		"Focata"
"TF_Weapon_Sandvich_Desc"	"\"¡Ven aquí! Te daré un trozo.\""
// Huntsman
"TF_Weapon_Huntsman"		"Cazador"
"TF_Weapon_Huntsman_Desc"	"\"¿Que le pasó a la caballería?\""
// Gunboats
"TF_Weapon_Gunboats"				"Botas Blindadas"
"TF_Weapon_Gunboats_Desc_Soldier"	"¡Plantillas de plomo para zapatos! Perfectas para quienes intentan hacer trampa en el examen físico del ejército."
"TF_Weapon_Gunboats_Desc_Demoman"	"Unas botas tan buenas que ni te preocuparás por los tornillos que te taladran los pies."

// ----------------------------------------------------------------
// Death & Taxes weapon strings
// ----------------------------------------------------------------

// Umbrella
"TF_Weapon_Umbrella"		"Paraguas"
"TF_Weapon_Umbrella_Desc"	"Mantente seco tanto de la lluvia como del derramamiento de sangre durante tu viaje nocturno."
// Nail Gun
"TF_Weapon_NailGun"			"Pistola de Clavos"
"TF_Weapon_NailGun_Desc"	"La construcción no es algo que esté en los planes de este hombre."
// R.P.G.
"TF_Weapon_RPG"			"R.P.G."
"TF_Weapon_RPG_Desc"	"Es una vista preciosa que contemplar cuando están volando a través del cielo y no hacia tú dirección."
// Hunting Revolver
"TF_Weapon_HuntingRevolver"			"Revólver de Caza"
"TF_Weapon_HuntingRevolver_Desc"	"Hecho para ser más ofensivo."
// Fishwhacker
"TF_Weapon_Fishwhacker"			"Machacapeces"
"TF_Weapon_Fishwhacker_Desc"	"Lo más posible que pase al estar cerca del cuerpo humano es una gran concusión."
// Tranquilizer Gun
"TF_Weapon_TranquilizerGun"			"Pistola Sedante"
"TF_Weapon_TranquilizerGun_Desc"	"\"En tus sueños, chéri.\""
// Dynamite Pack
"TF_Weapon_DynamitePack"		"Paquete de Dinamita"
"TF_Weapon_DynamitePack_Desc"	"\"Estarás hecho pedazos mañana.\""
// Coilgun
"TF_Weapon_Coilgun"			"Bobiductor"
"TF_Weapon_Coilgun_Desc"	"\"No es un filete, sino un montón de chisporroteo.\""
// Mine Layer
"TF_Weapon_MineLayer"		"Lanzaminas"
"TF_Weapon_MineLayer_Desc"	"\"¡Sí, atento! Je...\""
// Shock Therapy
"TF_Weapon_ShockTherapy"		"Electrochoque"
"TF_Weapon_ShockTherapy_Desc"	"\"¡Manténganse alejado!\""

// ----------------------------------------------------------------
// Fight or Flight weapon strings
// ----------------------------------------------------------------

// L'escampette
"TF_Weapon_Lescampette"			"L'escampette"
"TF_Weapon_Lescampette_Desc"	"\"Hazlo rápido.\""
// Chekhov's Punch
"TF_Weapon_ChekhovsPunch"		"Puño de Chéjov"
"TF_Weapon_ChekhovsPunch_Desc"	"Si uno va a equipar estas cadenas, deben usarse para lanzar puñetazos."
// Twin Barrel
"TF_Weapon_TwinBarrel"		"Doble Cañón"
"TF_Weapon_TwinBarrel_Desc"	"(Las modificaciones posteriores a la comercialización anulan la garantía.)"
// Anti-Aircraft Cannon
"TF_Weapon_AntiAircraftCannon"		"Cañón Anti-Aéreo"
"TF_Weapon_AntiAircraftCannon_Desc"	"\"¿Qué parte de ti debería enviar Heavy a mamá?\""
// PDA: Jump Pad
"TF_Weapon_PDAJumpPad"		"PDA: Controlador Aéreo"
"TF_Weapon_PDAJumpPad_Desc"	"\"Confía en mí, amigo. Este te hará volar.\""
// Harvester
"TF_Weapon_Harvester"		"Segador"
"TF_Weapon_Harvester_Desc"	"No preguntes por quién doblan las campanas."
// Brick
"TF_Weapon_Brick"		"Ladrillo"
"TF_Weapon_Brick_Desc"	"\"Largo de aquí, amigo. Estás acabado\""

// ----------------------------------------------------------------
// Double Down weapon strings
// ----------------------------------------------------------------

// Rejuvenator
"TF_Weapon_Rejuvenator"			"Rejuvenecedor"
"TF_Weapon_Rejuvenator_Desc"	"Ese sí que es una receta explosiva."
// Admiralty Anchor
"TF_Weapon_AdmiraltyAnchor"			"Ancla del Almirantazgo"
"TF_Weapon_AdmiraltyAnchor_Desc"	"\"¡Prepárate para ser barrido de la cubierta!\""
// Derby Cane
"TF_Weapon_DerbyCane"		"Bastón de Derby"
"TF_Weapon_DerbyCane_Desc"	"Luzca elegante, siéntase elegante y deje a sus competidores con la boca abierta."
// Cyclops
"TF_Weapon_Cyclops"			"Cíclope"
"TF_Weapon_Cyclops_Desc"	"En el país de los ciegos, tú eres el rey."

// ----------------------------------------------------------------
// Miscellaneous weapon types
// ----------------------------------------------------------------

"TF_Weapon_Anchor"					"Ancla"
"TF_Weapon_Boots"					"Botas"
"TF_Weapon_Bow"						"Arco"
"TF_Weapon_Cane"					"Bastón"
"TF_Weapon_Chains"					"Cadenas"
"TF_Weapon_CigaretteCase"			"... ¿Pitillera?"
"TF_Weapon_Club"					"Porra"
"TF_Weapon_DoubleBarrelShotgun"		"Escopeta de Doble Cañón"
"TF_Weapon_EMPGrenadeLauncher"		"Lanzagranadas PEM"
"TF_Weapon_Grenade"					"Granada"
"TF_Weapon_HealGrenadeLauncher"		"Lanzagranadas Curativo"
"TF_Weapon_LunchBox"				"Fiambrera"
"TF_Weapon_PDA"						"PDA"
"TF_Weapon_ProximityMineLauncher"	"Lanzaminas de proximidad"
"TF_Weapon_Scythe"					"Guadaña"
"TF_Weapon_Syringe"					"Jeringa"
"TF_Weapon_Taser"					"Táser"
"TF_Weapon_Throwable"				"Lanzable"

// ----------------------------------------------------------------
// Weapon meters
// ----------------------------------------------------------------

"TF_Meter_Airtime"	"TIEMPO AÉREO"
"TF_Meter_Brick"	"LADRILLO"
"TF_Meter_Cloak"	"INVIS."
"TF_Meter_Crits"	"CRÍTICOS"
"TF_Meter_Dynamite"	"DINAMITA"
"TF_Meter_Harvest"	"COSECHA"
"TF_Meter_LunchBox"	"COMIDA"
"TF_Meter_Therapy"	"CHOQUE"

// ----------------------------------------------------------------
// Buildings
// ----------------------------------------------------------------

// Building Status
"Building_hud_hauling"						"Llevando..."
"Building_hud_upgrading"					"Mejorando..."
"Building_hud_jumppad_a_not_built"			"Controlador Aéreo A\nNo Construido"
"Building_hud_jumppad_b_not_built"			"Controlador Aéreo B\nNo Construido"

// Jump Pad
"TF_Object_Jump"						"Controlador Aéreo"
"TF_Object_Jump_A"						"Controlador Aéreo A"
"TF_Object_Jump_B"						"Controlador Aéreo B"
"TF_JumpPad_Mode_A"						"A"
"TF_JumpPad_Mode_B"						"B"

// ----------------------------------------------------------------
// Weapon attributes
// ----------------------------------------------------------------

"Attrib_CritVsBurning"				"100% de probabilidad de crítico contra jugadores ardiendo"
"Attrib_RocketJumpDmgReduction"		"%s1% de daño explosivo por saltos con cohete"
"Attrib_Scattergun_HasKnockback"	"Empuja al objetivo y al tirador"

"Attrib_RocketGravity"								"Los cohetes vuelan en arco"
"Attrib_CreatesEarthquakeFallDamage"				"El daño por caída provoca un terremoto mientras está activo"
"Attrib_TakeProjectileCritsAirborne"				"Sufres críticos de proyectiles mientras estás en el aire"
"Attrib_Gravity_Active_Increased"					"+%s1% de gravedad mientras está activo"
"Attrib_TeleporterJumpPad"							"Reemplaza la entrada y salida del teleportador con controladores aéreos"
"Attrib_Mod_Horizontal_Spread"						"Las balas tienen una dispersión amplia y horizontal"
"Attrib_ApplySelfKnockback"							"Aplica un autoempuje invertido al disparar"
"Attrib_WeaponEnemyKnockback_Bonus"					"+%s1% de fuerza de empuje en el enemigo"
"Attrib_LifestealCrit"								"Al impactar con críticos: Absorbe la salud de tu víctima"
"Attrib_FlatHealOnAfterburn_Active"					"+%s1 de salud por cada tick de quemadura que inflijas con el arma activa"
"Attrib_RememberTargetsRemainingAfterburn"			"Rastrea la quemadura restante de los objetivos muertos"
"Attrib_OnDeathRemoveTargetsAfterburn"				"Al morir: Los enemigos se extinguen"
"Attrib_Explosive_Bullets"							"Dispara balas explosivas"
"Attrib_CannotUseStoredCrits"						"Esta arma no puede usar críticos guardados"
"Attrib_GainStoredCritsOnHit"						"Al impactar: Guarda %s1 críticos"
"Attrib_AlwaysCritsFullStoredCrits"					"Esta arma no puede utilizar los críticos guardados a menos que esté a plena capacidad"
"Attrib_LoseStoredCritsOnMiss"						"Al fallar: Pierde %s1 de críticos guardados"
"Attrib_MeleeTakenBecomesCritWearer"				"El daño cuerpo a cuerpo sufrido será crítico en el usuario"
"Attrib_MoveSpeed_Bonus_Cloaked"					"+%s1% de velocidad de movimiento mientras invisible"
"Attrib_LoseCloakOnDamage"							"-%s1% de invisibilidad al recibir daño mientras invisible"
"Attrib_TranqOnHit"									"Al Impactar: Influye Daltonismo a la victima y reduce su movimiento y velocidad de arma por +%s1s."
"Attrib_FishwhackerSweep"							"Empuja a los enemigos cercanos"
"Attrib_SelfKnockbackAffectedByDamageBoostModifier"	"Autoempuje se ve afectado por el aumento de daño"
"Attrib_ApplySelfKnockbackSwing"					"Aplica un autoempuje invertido al atacar"
"Attrib_AirblastSelfKnockback"						"El aire comprimido da un empujón al usuario"
"Attrib_ProximityMine"								"Minas de proximidad que explotan cerca de enemigos"
"Attrib_AltFire_FizzleMines"						"Disparo Secundario: Desintegrar minas de proximidad."
"Attrib_NoStickyChargeTime"							"Sin tiempo de carga de las bombas lapas"
"Attrib_BlastSplashDamage_Decreased"				"%s1% de daño de explosión de área"
"Attrib_BurningTargetsChargeCrit"					"Los objetivos en llamas cargan los críticos mientras está activo"
"Attrib_LimitedRange"								"El arma tiene un alcance limitado"
"Attrib_GainStoredCritsOnKill"						"Al causar baja: Guarda %s1 críticos"
"Attrib_HealOnKillCrit"								"+%s1 de salud restaurada al matar con críticos"
"Attrib_InstantReloadOnDirectHit"					"Al impactar directamente: Recarga hasta %s1 de munición al instante"
"Attrib_InstantReloadOnHit"							"Al impactar: Recarga hasta %s1 de munición al instante"
"Attrib_InstantReloadOnDirectHitKill"				"Al matar por impacto directo: Recarga hasta %s1 de munición al instante"
"Attrib_InstantReloadOnKill"						"Al causar baja: Recarga hasta %s1 de munición al instante"
"Attrib_ViewPunchOnHit"								"Al Impactar: Sacude la vista de la victima"
"Attrib_FlinchDecrease"								"%s1% menos sacudidas"
"Attrib_FlinchIncrease"								"+%s1% más sacudidas"
"Attrib_FlinchDecreaseWearer"						"%s1% menos sacudidas para el usuario"
"Attrib_FlinchIncreaseWearer"						"+%s1% más sacudidas para el usuario"
"Attrib_FlinchDecreaseAiming"						"%s1% menos sacudidas al apuntar"
"Attrib_FlinchIncreaseAiming"						"+%s1% más sacudidas al apuntar"
"Attrib_CritVsBleed"								"100% de probabilidad de impacto crítico contra jugadores sangrando"
"Attrib_MinicritWhileDisguised"						"El ataque da minicríticos mientras estás disfrazado"
"Attrib_TakeMinicritsWhileDisguised"				"Sufres daño minicrítico mientras estás disfrazado"
"Attrib_ObjectivesGiveMiniCrits"					"Causa minicríticos a los enemigos que capturen, defiendan o lleven objetivos"
"Attrib_HeadshotIsMinicrit"							"Los tiros en la cabeza son minicríticos"
"Attrib_BuildingsMaxLevel"							"Las construcciones tienen %s1 nivel máximo"
"Attrib_UpgradeCost"								"Las construcciones necesitan %s1 de metal para ser mejorados"
"Attrib_Dispenser_Build_Rate"						"Incrementa la velocidad de construcción de los dispensadores un %s1%"
"Attrib_JumpPad_Build_Rate"							"Incrementa la velocidad de construcción de los controladores aéreos un %s1%"
"Attrib_DispenserBuildCost"							"%s1% coste de construcción del dispensador"
"Attrib_SentrygunBuildCost"							"%s1% coste de construcción del arma centinela"
"Attrib_JumpPadBuildCost"							"%s1% coste de construcción del controlador aéreo"
"Attrib_NoPrimaryAmmoFromDispensersAlways"			"Los dispensadores no proporcionan munición"
"Attrib_MetalOnSentryKill"							"Al matar con arma centinela: +%s1 de metal"
"Attrib_SentryKnockback_Increased"					"El arma centinela inflige +%s1% de empujón"
"Attrib_SentryKnockback_Decreased"					"El arma centinela inflige %s1% de empujón"
"Attrib_SentryTurnRate_Increased"					"El arma centinela gira +%s1% más rápido"
"Attrib_SentryTurnRate_Decreased"					"El arma centinela gira %s1% más lento"
"Attrib_HealingMedigunReceivedBonus"				"+%s1% de salud del Arma Médica al usuario"
"Attrib_HealingMedigunReceivedPenalty"				"%s1% de salud del Arma Médica al usuario"
"Attrib_HealingMedigunReceivedActiveBonus"			"+%s1% de salud del Arma Médica mientras está activo"
"Attrib_HealingMedigunReceivedActivePenalty"		"%s1% de salud del Arma Médica mientras está activo"
"Attrib_HealingDispenserReceivedBonus"				"+%s1% de salud de los dispensadores al usuario"
"Attrib_HealingDispenserReceivedPenalty"			"%s1% de salud de los dispensadores al usuario"
"Attrib_HealingDispenserReceivedActiveBonus"		"+%s1% de salud de los dispensadores mientras está activo"
"Attrib_HealingDispenserReceivedActivePenalty"		"%s1% de salud de los dispensadores mientras está activo"
"Attrib_DispenserCanOverhealOnWearer"				"Los dispensadores pueden curar en exceso al usuario"
"Attrib_DispenserCanOverhealOnActive"				"Los dispensadores pueden curar en exceso mientras está activo"
"Attrib_EverythingCanOverhealOnWearer"				"Puedes ser curado en exceso por cualquier cosa mientras está equipado"
"Attrib_EverythingCanOverhealOnActive"				"Puedes ser curado en exceso por cualquier cosa mientras está activo"
"Attrib_NoCritHeals"								"Sin curaciones críticas: La tasa de curación no aumenta al curar a un objetivo fuera de combate"
"Attrib_HealthKitsCanOverhealOnWearer"				"Los botiquines pueden curar en exceso al usuario"
"Attrib_HealthKitsCanOverhealOnActive"				"Los botiquines pueden curar en exceso mientras está activo"
"Attrib_HealingReceivedActiveBonus"					"+%s1% de salud de los sanadores mientras está activo"
"Attrib_HealingReceivedActivePenalty"				"%s1% de salud de los sanadores mientras está activo"
"Attrib_HealthFromPacks_Active_Increased"			"+%s1% de salud de botiquines mientras está activo"
"Attrib_HealthFromPacks_Active_Decreased"			"%s1% de salud de botiquines mientras está activo"
"Attrib_DamageDelaysRegeneration"					"Recibir daño retrasa la regeneración de salud en %s1s"
"Attrib_DestroyGrenadesDetonateOwn"					"La explosión destruye las granadas enemigas y detona las tuyas propias"
"Attrib_HoldFirePreventDetonation"					"Al mantener pulsado: Evitar la detonación de granadas"
"Attrib_CritAirborneEnemies"						"Causa críticos a objetivos propulsados en el aire"
"Attrib_ModCritAirborneDirectHitOnly"				"Causa críticos a enemigos aéreos solo con impacto directo"
"Attrib_ObjectivesGiveCrits"						"Causa críticos a los enemigos que capturen, defiendan o lleven objetivos"
"Attrib_AddAmmoOnDirectHit"							"Al impactar directamente: Gana %s1 de munición"
"Attrib_AddAmmoOnDirectHitKill"						"Al matar por impacto directo: Gana %s1 de munición"
"Attrib_AddAmmoOnKill"								"Al causar baja: Gana %s1 de munición"
"Attrib_MinicritVsWet"								"100% de probabilidad de minicríticos contra jugadores mojados"
"Attrib_TakeMinicritsProjectileAirborne"			"Sufrir minicríticos de proyectiles al estar en el aire"
"Attrib_HealOnSmack"								"Golpea a tus compañeros con la carga máxima para curarlos"
"Attrib_MultDamageCrit"								"Los críticos infligen un %s1% de daño adicional"
"Attrib_DropTeamHealthPackOnKill"					"Al causar baja: genera un botiquín pequeño para el equipo"
"Attrib_PassiveAmmoHolstered"						"Recarga munición de forma pasiva mientras está enfundada"
"Attrib_Backstab"									"Ataca a un enemigo por detras para apuñalarles y matarles instantáneamente"
"Attrib_UpgradeRepairBuildings"						"Acelera la construcción, mejora, y repara construcciones aliadas con un simple golpe"
"Attrib_AltFire_DetonateStickybombs"				"Disparo Secundario: Detonar todas las Bombas Lapa"
"Attrib_AltFire_Airblast"							"Disparo secundario: Dispara aire comprimido\nEmpuja a enemigos, devuelve proyectiles y apaga a aliados que están ardiendo"
"Attrib_AltFire_Cloak"								"Disparo secundario: Te vuelves invisible"
"Attrib_SapBuildings"								"Colócalo en construcciones enemigas para deshabilitarlas y quitarles vida lentamente\nColocar un Zapador no quita tu disfraz"
"Attrib_ReloadNotActive"							"Esta arma se recargará cuando no esté activa"
"Attrib_Sandvich"									"Cometelo para recuperar hasta 120 de salud\nDisparo secundario: comparte un Focata con un amigo (botiquín mediano)"
"Attrib_AltFire_MinicritBoost"						"Disparo secundario: Dar minicríticos a un compañero de equipo"
"Attrib_SplitsIntoBomblets"							"Se divide en 4 pequeñas bombetas al explotar"
"Attrib_DisabledByWrench"							"Se puede desactivar con la llave inglesa"
"Attrib_Coilgun"									"Los disparos completamente cargados rebotan, pero si se sobrecarga explotará"
"Attrib_DamageAffectedByCharge"						"El nivel de carga eléctrica afecta al daño realizado"
"Attrib_JumpPadNoUpgrade"							"Los controladores aéreos no pueden mejorarse"
"Attrib_AltFire_HasteBoost"							"Disparo secundario: Aumenta la velocidad de un compañero de equipo"
"Attrib_AltFire_UberBubble"							"Disparo secundario: Lanza un dispositivo que otorga invulnerabilidad en un radio"

// ----------------------------------------------------------------
// Map strings
// ----------------------------------------------------------------

// cp_amaranth
"Amaranth_cap_A"			"los almacenes"
"Amaranth_cap_B"			"Centro de expedición de RED"

// 4dom_hydro
"Hydro_dom_cap_warehouse"		"A, el almacén"
"Hydro_dom_cap_radar_dish"		"B, la antena del radar"
"Hydro_dom_cap_power_plant"		"C, la central eléctrica"
"Hydro_dom_cap_dam"				"D, la presa"

// vip_mineside
"vip_mineside_description"	"Objetivo:
El equipo Rojo gana si evita que el VIP llegue a la Zona de huida. El equipo Azul gana si escolta al VIP a la Zona de huida.

Información adicional:
La Zona de huida no estará disponible hasta que se lleve el Maletín Dispositivo a la Sala de Control cerca de las puertas de la Zona de huida.

Si BLU entrega el Maletín Dispositivo, las puertas empezarán una cuenta atrás de 60 segundos antes de cerrarse de nuevo."

"Mineside_setup_goal_red"	"Mata al VIP para evitar que llegue a la Zona de huida. Evita que coja el Dispositivo."
"Mineside_setup_goal_blu"	"Escolta al VIP a la Zona de huida. Lleva el Dispositivo a la Sala de Control para abrir las puertas."

"Mineside_escape_zone"		"el túnel de huida"

// dom_oilcanyon
"Oilcanyon_cap_A"			"el punto A, el Cañón"
"Oilcanyon_cap_B"			"el punto B, el Rayo Laser"
"Oilcanyon_cap_C"			"el punto C, la Refinería"

// vip_trainyard
"Trainyard_escape_zone"	"el vehículo de huida"

// vip_harbor
"Harbor_cap_1"				"el primer Punto de Control"
"Harbor_cap_2"				"el segundo Punto de Control"
"Harbor_cap_3"				"el último Punto de Control"

// 4dom_krepost
"dom_krepost_description"	"Objetivo:
Para ganar, cada equipo debe capturar y mantener el Punto de Control activo en ese momento para ganar puntos.

El Punto de Control activo cambia a la base de un equipo aleatorio cada 60 segundos.

Información adicional:
Al atacar un Punto de Control, el enemigo que tenga poder sobre él dejará de ganar puntos de este.

El Punto de Control activo se bloqueará cuando se elija un nuevo Punto de Control.

¡Sólo combate de cuerpo a cuerpo, sé honorable!"

"Krepost_cap_red"			"El castillo de RED"
"Krepost_cap_blu"			"El castillo de BLU"
"Krepost_cap_grn"			"El castillo de GRN"
"Krepost_cap_ylw"			"El castillo de YLW"

"Krepost_attack_red"		"¡La puerta de RED está abierta!"
"Krepost_attack_blu"		"¡La puerta de BLU está abierta!"
"Krepost_attack_grn"		"¡La puerta de GRN está abierta!"
"Krepost_attack_ylw"		"¡La puerta de YLW está abierta!"

// td_caper
"Caper_cap_A"			"punto A, la torre láser"
"Caper_cap_B"			"punto B, los silos"
"Caper_cap_C"			"punto C, la cloaca"

// vipr_2bridge
"2Bridge_cap_A"			"el puente de RED"
"2Bridge_cap_B"			"el puente de BLU"

// vipr_drizzle
"Drizzle_cap_A"			"la entrada a la mina RED"
"Drizzle_cap_B"			"la entrada a la mina BLU"

// dom_railway
"Railway_cap_A"            	"punto A, el garaje"
"Railway_cap_B"            	"punto B, la sala de entregas"
"Railway_cap_C"            	"punto C, el patio de almacenaje"

// dom_sawtooth
"Sawtooth_cap_A"            	"punto A, el mirador"
"Sawtooth_cap_B"            	"punto B, la serrería"
"Sawtooth_cap_C"            	"punto C, la torre de radio"

// td_sunnyside
"Sunnyside_cap_A"		"punto A, los graneros"
"Sunnyside_cap_B"		"punto B, los gallineros"
"Sunnyside_cap_C"		"punto C, los depósitos"

// vip_avanti
"Avanti_red_setup_goal"		"¡Baja la colina y mata al VIP del equipo enemigo para evitar que llegue a la zona de huida!"
"Avanti_blue_setup_goal"	"¡Sube la colina y escolta al VIP hasta la zona de huida!"
"Avanti_cap_1"				"el almacén"
"Avanti_cap_2"				"la terraza"
"Avanti_cap_3"				"el campanario"
"Avanti_cap_4"				"las puertas principales"

// vipr_chopper
"Chopper_cap_A"				"el radar de RED"
"Chopper_cap_B"				"el radar de BLU"

// ----------------------------------------------------------------
// Gamemodes
// ----------------------------------------------------------------

"Gametype_CTF_Penguin"		"Captura al Pingüino" // We have fun here
"Gametype_Domination"		"Dominación"
"Gametype_MedDomination"	"Dominación (Medieval)"
"Gametype_KOTF"				"Rey de la Bandera"
"Gametype_TD"				"Dominación Territorial"
"Gametype_VIP"				"VIP"
"Gametype_VIPRace"			"Carrera VIP"

"Gametype_FourTeam"			"Cuatro Equipos"

"Gametype_Arena_FourTeam"			"Arena (Cuatro Equipos)"
"Gametype_AttackDefense_FourTeam"	"Ataque / Defensa (Cuatro Equipos)"
"Gametype_CP_FourTeam"				"Puntos de Control (Cuatro Equipos)"
"Gametype_CTF_FourTeam"				"Captura la Bandera (Cuatro Equipos)"
"Gametype_Domination_FourTeam"		"Dominación (Cuatro Equipos)"
"Gametype_MedDomination_FourTeam"	"Dominación (Medieval a Cuatro Equipos)"
"Gametype_KOTF_FourTeam"			"Rey de la Bandera (Cuatro Equipos)"
"Gametype_Koth_FourTeam"			"Rey de la Colina (Cuatro Equipos)"
"Gametype_Escort_FourTeam"			"Carga Explosiva (Cuatro Equipos)"
"Gametype_EscortRace_FourTeam"		"Carrera de Vagonetas (Cuatro Equipos)"
"Gametype_SD_FourTeam"				"Entrega Especial (Cuatro Equipos)"
"Gametype_TD_FourTeam"				"Dominación Territorial (Cuatro Equipos)"
"Gametype_Training_FourTeam"		"Entrenamiento (Cuatro Equipos)"
"Gametype_VIP_FourTeam"				"VIP (Cuatro Equipos)"
"Gametype_VIPRace_FourTeam"			"Carrera VIP (Cuatro Equipos)"

// Offline practice descriptions
"TF_GameModeDesc_VIP"			"BLU escolta al VIP hasta un punto de control. RED trata de evitarlo."
"TF_GameModeDesc_VIPRace"		"Escoltar al VIP antes de que lo haga el equipo enemigo."
"TF_GameModeDesc_Domination"	"Captura puntos y manténlos el mayor tiempo posible."
"TF_GameModeDesc_Arena"			"Elimina a todos los enemigos o espera a que se desbloquee el objetivo."

"TF_GameModeBrief_VIPRace"		"Carrera VIP - ambos equipos tienen un VIP."

// ----------------------------------------------------------------
// Gamemode strings
// ----------------------------------------------------------------

// Domination
"default_dom_description"	"Objetivo:
Para ganar cada equipo debe capturar y defender los Puntos de Control para ganar puntos, a más Puntos de Control, más rápido se ganan puntos.

Información adicional:
Al atacar un Punto de Control, el enemigo que tenga poder sobre él dejará de ganar puntos de este.

Si tu equipo se queda atrás, captura todos los Puntos de Control para ganar una bonificación de puntos."

"domination_setup_goal"	"Captura Puntos de Control para generar puntos. ¡Capturar más de un punto aumenta las posibilidades de ganar!"

// VIP
"default_vip_description"	"Objetivo:
El equipo Azul gana si escolta el VIP a la Zona de huida antes de que se acabe el tiempo. El equipo Rojo gana si evita que llegue a la Zona de huida.

Información adicional: 
El equipo BLU puede congelar el progreso de captura de un Punto de Control si el Civilian ya no está presente."

"vip_setup_goal_offense"	"Escolta al VIP a la Zona de huida. Captura Puntos de Control para bonificaciones opcionales."
"vip_setup_goal_defense"	"Mata al VIP del enemigo para evitar que llegue a la Zona de huida. Defiende Puntos de Control si necesario."

"TF_VIP_Assigned"					"¡%s1 es ahora el VIP!"
"TF_VIP_Tutorial_Annotation_2"		"¡Él proporciona una mejora de defensa a quien esté alrededor y \ntambién puede dar una mejora temporal a un miembro de su equipo con Mini-Críticos!"
"TF_VIP_Tutorial_Annotation_3"		"Pero recuerda, su vida es más importante que la tuya, ¡así que no le dejes morir!"

"Cant_cap_civilian_only"		"Solo el VIP puede\n capturar este punto."
"Cant_cap_civilian_only_frozen"	"Captura Congelada\n Solo el VIP puede\n capturar este punto."

// VIP (Lives)
"vipl_setup_goal_offense"	"Escolta al VIP a la Zona de huida. Evita que le asesinen."
"vipl_setup_goal_defense"	"Mata al VIP del enemigo o evita que llegue a la Zona de huida para ganar."

// VIP (Flags)
"vip_bring_flag_here"		"¡Lleva el aparato aquí!"
"vip_bring_flag"			"¡Lleva el aparato a la Sala de Control!"

"TF_VIP_TakeDeviceToPoint"		"¡Lleva el Dispositivo a la Sala de Control!"
"TF_VIP_TeamDeviceReturned"		"¡El Dispositivo ha regresado! ¡Ve a cogerlo!"
"TF_VIP_EnemyDeviceReturned"	"¡El Dispositivo ha regresado! ¡Defiende la zona de entrega!"

// VIP Race
"default_vipr_description"	"Objetivo:
