"lang"
{
"Language" "German"
"Tip_9_19"		"Als Engineer ermöglichen Ihre Sprungplattformen Ihren Teamkollegen und Sie, hohe Orte zu erreichen. Setzen Sie sie an Stellen ein, damit schwerere Klassen auf Dächer gelangen können."
"Tip_9_20"		"Als Engineer ermöglichen Ihre Sprungplattformen Ihren Teamkollegen und Sie, mit viel Schwung nach vorne zu springen. Setzen Sie sie an Stellen ein, die eine rasche Einführung ermöglichen."

// Civilian
"Tip_10_Count"	"11"
// Generic
"Tip_10_1"		"Als Civilian sind Sie ziemlich langsam. Geben Sie Ihr Bestes, um mit Ihren Teamkollegen Schritt zu halten."
"Tip_10_2"		"Als Civilian sind Sie die kleinste Klasse im Spiel. Dies kann nützlich sein, wenn Sie sich hinter Teammitgliedern verstecken."
"Tip_10_3"		"Als Civilian sind Sie die einzige Klasse, die im Spielmodus VIP und VIP-Rennen Kontrollpunkte erobern kann."
"Tip_10_4"		"Achten Sie als Civilian auf feindliche Spys und Sniper, da sie dazu fähig sind, Sie sofort zu töten."
"Tip_10_5"		"Als Civilian werden Teamkollegen in der Nähe von Ihrem Moralschub beeinflusst, wodurch sie einen leichten Verteidigungsschub und eine höhere Gesundheitsleiste erhalten. Versuchen Sie, sich aus der Sichtlinie des Feindes zu halten."
"Tip_10_6"		"Zielen Sie als Civilian auf Ihren Teamkameraden und drücken Sie %attack2%, um ihm einen Boost zu verpassen und ihm einen großen Vorteil im Kampf zu verschaffen."
// Stock
"Tip_10_7"		"Als Civilian ist Ihr Regenschirm als Waffe nicht sehr effektiv. Lassen Sie Ihre Teamkollegen für Sie kämpfen."
"Tip_10_8"		"Als Civilian gewährt Ihr Schirm einem Teamkameraden Ihrer Wahl Mini-Krits. Verstärkt Klassen, die viel Schaden anrichten können."
"Tip_10_9"		"Als Civilian gibt Ihr Regenschirm Mini-Krit-Boost für Medics schnellere Heilung und Übergewinn."
// Double Down
"Tip_10_10"		"Als Civilian können Sie Ihren Teamkollegen mit Ihrem Derby-Gehstock einen Hast-Boost verpassen. Dadurch können sich die Teamkollegen viel schneller bewegen und angreifen."
"Tip_10_11"		"Als Civilian erhöht der Derby-Gehstock die Heilgeschwindigkeit des Medics und den Baufortschritt des Engineers."

// ----------------------------------------------------------------
// Stock weapon strings
// ----------------------------------------------------------------

// Bat
"TF_Weapon_Bat"			"Schläger"
"TF_Weapon_Bat_Desc"	"Ich hab keine Angst, wenn eins kaputtgeht, denn ich hab Dutzende davon."
// Bottle
"TF_Weapon_Bottle"		"Flasche"
"TF_Weapon_Bottle_Desc"	"Nee, nee, du sollst es davon trinken!"
// Fire Axe
"TF_Weapon_FireAxe"			"Feueraxt"
"TF_Weapon_FireAxe_Desc"	"Brandschutz hat höchste Priorität."
// Kukri
"TF_Weapon_Kukri"		"Kukri"
"TF_Weapon_Kukri_Desc"	"Von einem Schützen zerschlitzt. Ich werd' verrückt."
// Knife
"TF_Weapon_Knife"		"Messer"
"TF_Weapon_Knife_Desc"	"Für den Mann, der gerne zusieht, wie sich die Dinge entwickeln."
// Fists
"TF_Weapon_Fists"		"Fäuste"
"TF_Weapon_Fists_Desc"	"Warte! Du bekommst noch mehr!"
// Shovel
"TF_Weapon_Shovel"		"Schaufel"
"TF_Weapon_Shovel_Desc"	"In Zeiten von Kriegen begraben wir die Feinde. In Zeiten des Friedens plündern wir die Gräber."
// Wrench
"TF_Weapon_Wrench"		"Schraubenschlüssel"
"TF_Weapon_Wrench_Desc"	"Für Kleinigkeiten tue ich doch alles."
// Bonesaw
"TF_Weapon_Bonesaw"			"Knochensäge"
"TF_Weapon_Bonesaw_Desc"	"Keine Sorge, es ist nicht mein Blut! ... Na ja, wenn ich es mir jetzt so genauer ansehe, bin ich mir doch nicht sicher."
// Shotgun
"TF_Weapon_Shotgun"					"Schrotflinte"
"TF_Weapon_Shotgun_Desc_Engineer"	"Manche Sachen muss man einfach selbst in die Hand nehmen."
"TF_Weapon_Shotgun_Desc_Soldier"	"Meine Schrotflinte stimmt nicht mit deinem Lebenswillen überein, Trottel!"
"TF_Weapon_Shotgun_Desc_Heavy"		"Heavy wird dich damit fertig machen."
"TF_Weapon_Shotgun_Desc_Pyro"		"Überlass das Reden nur der Flinte."
// Scattergun
"TF_Weapon_Scattergun"		"Scattergun"
"TF_Weapon_Scattergun_Desc"	"Chill, Alter - ich hab dich mit links abgemurkst!"
// Sniper Rifle
"TF_Weapon_SniperRifle"			"Scharfschützengewehr"
"TF_Weapon_SniperRifle_Desc"	"Erledigt den Job."
// Minigun
"TF_Weapon_Minigun"			"Minigun"
"TF_Weapon_Minigun_Desc"	"Sascha gehorcht nicht mal auf Heavy. Also wird sie erst recht nicht auf DICH hören."
// SMG
"TF_Weapon_SMG"			"SMG"
"TF_Weapon_SMG_Desc"	"Wir beide sind sehr gefährlich, wenn wir uns annähern. Na, was sagst du dazu?"
// Syringe Gun
"TF_Weapon_SyringeGun"		"Spritzen-MG"
"TF_Weapon_SyringeGun_Desc"	"Ooh, du bist ein perfekter Nadelbehälter!"
// Rocket Launcher
"TF_Weapon_RocketLauncher"		"Raketenwerfer"
"TF_Weapon_RocketLauncher_Desc"	"Die perfekte Waffe für den perfekten Soldaten!"
// Grenade Launcher
"TF_Weapon_GrenadeLauncher"			"Granatwerfer"
"TF_Weapon_GrenadeLauncher_Desc"	"Überlass das nur mir, Junge."
// Stickybomb Launcher
"TF_Weapon_StickybombLauncher"		"Haftbombenwerfer"
"TF_Weapon_StickybombLauncher_Desc"	"Ich sprenge sie persönlich in den Himmel, wenn's sein muss."
// Flame Thrower
"TF_Weapon_FlameThrower"		"Flammenwerfer"
"TF_Weapon_FlameThrower_Desc"	"Manchmal wird's brenzlich ..."
// Pistol
"TF_Weapon_Pistol"					"Pistole"
"TF_Weapon_Pistol_Desc_Engineer"	"Fang an zu tanzen, Mann."
"TF_Weapon_Pistol_Desc_Scout"		"Alle sind außer Reichweite, bis sie es dann nicht mehr sind."
// Revolver
"TF_Weapon_Revolver"		"Revolver"
"TF_Weapon_Revolver_Desc"	"Wenn Tarnung keine Option mehr ist."
// PDA: Teleporter (Construction PDA)
"TF_Weapon_ConstructionPDA"			"Konstruktions-PDA"
"TF_Weapon_ConstructionPDA_Desc"	"Alles, was ein Engineer wie ich braucht, befindet sich in diesem kleinen Gerät hier."
"TF_Weapon_PDATeleporter"			"PDA: Teleporter"
// Destruction PDA
"TF_Weapon_DestructionPDA"	"Abriss-PDA"
// Disguise Kit
"TF_Weapon_DisguiseKit"	"Verkleidungskit"
// Medi Gun
"TF_Weapon_Medigun"			"Medigun"
"TF_Weapon_Medigun_Desc"	"Ihr habt doch alle dieselbe Blutgruppe, richtig? Mehr oder weniger?"
// Invis Watch
"TF_Weapon_InvisWatch"		"Unsichtbarkeitsuhr"
"TF_Weapon_InvisWatch_Desc"	"Stylisch. Nur blöd, dass es niemand sehen wird."
// Sapper
"TF_Weapon_Sapper"		"Sapper"
"TF_Weapon_Sapper_Desc"	"Wer hat dieses Gerät liegen lassen?"

// ----------------------------------------------------------------
// Achievement weapon strings
// ----------------------------------------------------------------

// Kritzkrieg
"TF_Weapon_Kritzkrieg"		"Kritzkrieg"
"TF_Weapon_Kritzkrieg_Desc"	"Na los, füg Schmerzen hinzu! So bleiben wir im Geschäft, ja?"
// Überspritze
"TF_Weapon_Uberspritze"			"Überspritze"
"TF_Weapon_Uberspritze_Desc"	"Ach, jetzt zapple nicht rum - es ist für einen guten Zweck!"
// Flare Gun
"TF_Weapon_FlareGun"		"Signalpistole"
"TF_Weapon_FlareGun_Desc"	"Jemand brennt! Los, sendet ein Notsignal!"
// Sandvich
"TF_Weapon_Sandvich"		"Sandvich"
"TF_Weapon_Sandvich_Desc"	"Komm näher! Heavy wird dir einen Beigeschmack verpassen."
// Huntsman
"TF_Weapon_Huntsman"		"Huntsman"
"TF_Weapon_Huntsman_Desc"	"Was ist mit der Ritterlichkeit passiert?"
// Gunboats
"TF_Weapon_Gunboats"				"Explosionsstiefel"
"TF_Weapon_Gunboats_Desc_Soldier"	"Bleischuheinlagen! Perfekt für alle, die versuchen, bei der Armeeuntersuchung zu schummeln."
"TF_Weapon_Gunboats_Desc_Demoman"	"Die Stiefel sind so stabil, dass du keine Kratzer auf den Füßen bekommst."

// ----------------------------------------------------------------
// Death & Taxes weapon strings
// ----------------------------------------------------------------

// Umbrella
"TF_Weapon_Umbrella"		"Regenschirm"
"TF_Weapon_Umbrella_Desc"	"Ein Mann von Qualität muss trocken bleiben."
// Nail Gun
"TF_Weapon_NailGun"			"Nagelpistole"
"TF_Weapon_NailGun_Desc"	"Joa, hab den Job ziemlich schnell verloren."
// R.P.G.
"TF_Weapon_RPG"			"Panzerfaust"
"TF_Weapon_RPG_Desc"	"Siehst du, wie die Rakete an der Front herausragt? Sie sehnt sich nach Freiheit. Und bei Gott, sie wird sie bekommen."
// Hunting Revolver
"TF_Weapon_HuntingRevolver"			"Jagdrevolver"
"TF_Weapon_HuntingRevolver_Desc"	"Gemacht für einen eher offensiveren Ansatz."
// Fishwhacker
"TF_Weapon_Fishwhacker"			"Fischknüppel"
"TF_Weapon_Fishwhacker_Desc"	"Halt sie stabil, Kumpel. Sie splittert manchmal ein wenig."
// Tranquilizer Gun
"TF_Weapon_TranquilizerGun"			"Betäubungspistole"
"TF_Weapon_TranquilizerGun_Desc"	"Träum weiter, chéri."
// Dynamite Pack
"TF_Weapon_DynamitePack"		"Dynamitbündel"
"TF_Weapon_DynamitePack_Desc"	"Am nächsten Tag kommst du in Stückchen an."
// Coilgun
"TF_Weapon_Coilgun"			"Spulenpistole"
"TF_Weapon_Coilgun_Desc"	"Auch ohne Steak brutzelt es gewaltig."
// Mine Layer
"TF_Weapon_MineLayer"		"Minenleger"
"TF_Weapon_MineLayer_Desc"	"Hey, halte die Augen offen! Heh..."
// Shock Therapy
"TF_Weapon_ShockTherapy"		"Schocktherapie"
"TF_Weapon_ShockTherapy_Desc"	"SAUBER!"

// ----------------------------------------------------------------
// Fight or Flight weapon strings
// ----------------------------------------------------------------

// L'escampette
"TF_Weapon_Lescampette"			"L'escampette"
"TF_Weapon_Lescampette_Desc"	"Mach es kurz."
// Chekhov's Punch
"TF_Weapon_ChekhovsPunch"		"Tschechow-Ketten"
"TF_Weapon_ChekhovsPunch_Desc"	"Nicht weinen! Du spielst in Heavys Leben eine wichtige Rolle."
// Twin Barrel
"TF_Weapon_TwinBarrel"		"Doppelflinte"
"TF_Weapon_TwinBarrel_Desc"	"(Bei nachträglichen Änderungen erlischt die Garantie.)"
// Anti-Aircraft Cannon
"TF_Weapon_AntiAircraftCannon"		"Luftabwehrkanone"
"TF_Weapon_AntiAircraftCannon_Desc"	"Welchen Körperteil von dir soll Heavy nach Hause zu Mama schicken?"
// PDA: Jump Pad
"TF_Weapon_PDAJumpPad"		"PDA: Sprungplattform"
"TF_Weapon_PDAJumpPad_Desc"	"Glaub mir, Kleiner. Das wird dich ordentlich aus den Socken hauen."
// Harvester
"TF_Weapon_Harvester"		"Harvester"
"TF_Weapon_Harvester_Desc"	"Fragt nicht, wem die Stunde schlägt."
// Brick
"TF_Weapon_Brick"		"Ziegelstein"
"TF_Weapon_Brick_Desc"	"Als ob du SO ein Lahmarsch bist."

// ----------------------------------------------------------------
// Double Down weapon strings
// ----------------------------------------------------------------

// Rejuvenator
"TF_Weapon_Rejuvenator"			"Knallkapselwerfer"
"TF_Weapon_Rejuvenator_Desc"	"Versuch's nicht in den Mund und in die Augen zu kriegen."
// Admiralty Anchor
"TF_Weapon_AdmiraltyAnchor"			"Admiralitätsanker"
"TF_Weapon_AdmiraltyAnchor_Desc"	"Ich toleriere keine derbe Witze über die Navy in meiner Einheit."
// Derby Cane
"TF_Weapon_DerbyCane"		"Derby-Gehstock"
"TF_Weapon_DerbyCane_Desc"	"Fühlst du dich jetzt motiviert? Sehr gut."
// Cyclops
"TF_Weapon_Cyclops"			"Zyklop"
"TF_Weapon_Cyclops_Desc"	"Du bist der Herrscher der Blinden."

// ----------------------------------------------------------------
// Miscellaneous weapon types
// ----------------------------------------------------------------

"TF_Weapon_Anchor"					"Anker"
"TF_Weapon_Boots"					"Schuhe"
"TF_Weapon_Bow"						"Säge"
"TF_Weapon_Cane"					"Gehstock"
"TF_Weapon_Chains"					"Ketten"
"TF_Weapon_CigaretteCase"			"...Zigarettenetui?"
"TF_Weapon_Club"					"Knüppel"
"TF_Weapon_DoubleBarrelShotgun"		"Doppelläufige Schrotflinte"
"TF_Weapon_EMPGrenadeLauncher"		"EMP-Granatwerfer"
"TF_Weapon_Grenade"					"Granate"
"TF_Weapon_HealGrenadeLauncher"		"Kapselwerfer"
"TF_Weapon_LunchBox"				"Nahrung"
"TF_Weapon_PDA"						"PDA"
"TF_Weapon_ProximityMineLauncher"	"Annäherungsminenleger"
"TF_Weapon_Scythe"					"Sense"
"TF_Weapon_Syringe"					"Spritze"
"TF_Weapon_Taser"					"Taser"
"TF_Weapon_Throwable"				"Werfen"

// ----------------------------------------------------------------
// Weapon meters
// ----------------------------------------------------------------

"TF_Meter_Airtime"	"FREIFALL"
"TF_Meter_Brick"	"STEIN"
"TF_Meter_Cloak"	"TARNEN"
"TF_Meter_Crits"	"KRITS"
"TF_Meter_Dynamite"	"DYNAMIT"
"TF_Meter_Harvest"	"HARVEST"
"TF_Meter_LunchBox"	"NAHRUNG"
"TF_Meter_Therapy"	"THERAPIE"

// ----------------------------------------------------------------
// Buildings
// ----------------------------------------------------------------

// Jump Pad
"TF_Object_Jump"						"Sprungplattform"
"TF_Object_Jump_A"						"Sprungplattform A"
"TF_Object_Jump_B"						"Sprungplattform B"
"TF_JumpPad_Mode_A"						"A"
"TF_JumpPad_Mode_B"						"B"

// Building Status
"Building_hud_hauling"				"Eingepackt ..."
"Building_hud_upgrading"			"Wird upgegradet ..."
"Building_hud_jumppad_a_not_built"			"Sprungpl. A\nNicht gebaut"
"Building_hud_jumppad_b_not_built"			"Sprungpl. B\nNicht gebaut"


// ----------------------------------------------------------------
// Weapon attributes
// ----------------------------------------------------------------

"Attrib_CritVsBurning"				"Immer kritische Treffer bei brennenden Spielern"
"Attrib_RocketJumpDmgReduction"		"%s1% Selbstverursachter Explosionsschaden"
"Attrib_Scattergun_HasKnockback"	"Rückstoß auf Feinde und Sie selbst"

"Attrib_RocketGravity"								"Raketen fliegen im Bogen"
"Attrib_CreatesEarthquakeFallDamage"				"Erzeugt Erdbeben beim Fallschaden, wenn aktiv"
"Attrib_TakeProjectileCritsAirborne"				"Erleidet kritische Treffer durch Projektile für Träger"
"Attrib_Gravity_Active_Increased"					"+%s1% Schwerkraft, wenn aktiv"
"Attrib_TeleporterJumpPad"							"Ersetzt Teleporter durch Sprungplattformen"
"Attrib_Mod_Horizontal_Spread"						"Kugeln haben horizontale Streuung"
"Attrib_ApplySelfKnockback"							"Wendet bei einem Schuss einen umgekehrten Selbststoß an"
"Attrib_WeaponEnemyKnockback_Bonus"					"+%s1% Rückstoß beim Gegner"
"Attrib_LifestealCrit"								"Bei Treffer: Absorbiert die Gesundheit deines Feindes"
"Attrib_FlatHealOnAfterburn_Active"					"+%s1 Regeneration pro Nachverbrennungstick, wenn aktiv"
"Attrib_RememberTargetsRemainingAfterburn"			"Verfolgt die verbleibende Nachverbrennung von toten Zielpersonen"
"Attrib_OnDeathRemoveTargetsAfterburn"				"Beim Tod: Die Flammen der Feinde werden ausgelöscht"
"Attrib_Explosive_Bullets"							"Feuert Sprengpatronen"
"Attrib_CannotUseStoredCrits"						"Diese Waffe kann keine Krits aufsammeln"
"Attrib_GainStoredCritsOnHit"						"Bei Treffer: %s1 kritische Treffer"
"Attrib_AlwaysCritsFullStoredCrits"					"Diese Waffe kann aufgesammelte Krits nur bei voller Kapazität verwenden"
"Attrib_LoseStoredCritsOnMiss"						"Bei Verfehlung verlieren Sie %s1 kritische Treffer"
"Attrib_MeleeTakenBecomesCritWearer"				"Nahkampfschaden wird Krit für Träger"
"Attrib_MoveSpeed_Bonus_Cloaked"					"+%s1% schnellere Laufgeschwindigkeit bei Tarnung"
"Attrib_LoseCloakOnDamage"							"-%s1% Tarnung, wenn Sie unter Tarnung verletzt wurden"
"Attrib_TranqOnHit"									"Bei Treffer: Gegner farbenblind machen & ihre Laufgeschw. und Waffen um %s1s verlangsamen"
"Attrib_FishwhackerSweep"							"Verursacht Rückstoß bei Feinden in der Nähe"
"Attrib_SelfKnockbackAffectedByDamageBoostModifier"	"Selbststoß ist von der Schadenserhöhung betroffen"
"Attrib_ApplySelfKnockbackSwing"					"Wendet bei einem Schwung einen umgekehrten Selbststoß an"
"Attrib_AirblastSelfKnockback"						"Airblast verursacht Rückstoß beim Träger"
"Attrib_ProximityMine"								"Annäherungsminen explodieren in der Nähe von Gegnern"
"Attrib_AltFire_FizzleMines"						"Alt.-Feuer: Verpuffen Annährungsminen"
"Attrib_NoStickyChargeTime"							"Kein Weitschuss möglich"
"Attrib_BlastSplashDamage_Decreased"				"%s1% Explosionsschaden"
"Attrib_BurningTargetsChargeCrit"					"Brennende Ziele laden Krits auf, wenn aktiv"
"Attrib_LimitedRange"								"Waffe hat begrenzte Reichweite"
"Attrib_GainStoredCritsOnKill"						"Bei Tötung: %s1 kritische Treffer"
"Attrib_HealOnKillCrit"								"+%s1 Regeneration bei Enthauptung"
"Attrib_InstantReloadOnDirectHit"					"Bei Volltreffer: Sofortiges Nachladen von bis zu %s1 Munition"
"Attrib_InstantReloadOnHit"							"Bei Treffer: Sofortiges Nachladen von bis zu %s1 Munition"
"Attrib_InstantReloadOnDirectHitKill"				"Bei Volltreffer-Kill: Sofortiges Nachladen von bis zu %s1 Munition"
"Attrib_InstantReloadOnKill"						"Beim Töten: Sofortiges Nachladen von bis zu %s1 Munition"
"Attrib_ViewPunchOnHit"								"Bei Treffer: Sicht des Gegners betäubt"
"Attrib_FlinchDecrease"								"%s1% weniger wanken"
"Attrib_FlinchIncrease"								"+%s1% mehr wanken"
"Attrib_FlinchDecreaseWearer"						"%s1% weniger wanken bei Träger"
"Attrib_FlinchIncreaseWearer"						"+%s1% mehr wanken bei Träger"
"Attrib_FlinchDecreaseAiming"						"%s1% weniger wanken beim Zielen"
"Attrib_FlinchIncreaseAiming"						"+%s1% mehr wanken beim Zielen"
"Attrib_CritVsBleed"								"Immer kritische Treffer bei blutenden Spielern"
"Attrib_MinicritWhileDisguised"						"Angriff verteilt Mini-Krits, während Sie getarnt sind"
"Attrib_TakeMinicritsWhileDisguised"				"Sie erleide Mini-Krit-Schaden, wenn Sie getarnt sind"
"Attrib_ObjectivesGiveMiniCrits"					"Fügt Feinden, die Punkte erobern, verteidigen oder Flaggen tragen, Mini-Krits zu"
"Attrib_HeadshotIsMinicrit"							"Kopfschüsse verursacht Mini-Krit"
"Attrib_BuildingsMaxLevel"							"Maximale Stufe der Gebäude: %s1"
"Attrib_UpgradeCost"								"Gebäude benötigen %s1 Metall zum Upgraden"
"Attrib_Dispenser_Build_Rate"						"Erhöht Dispenser-Baugeschwindigkeit um %s1%"
"Attrib_JumpPad_Build_Rate"							"Erhöht Sprungplattform-Baugeschwindigkeit um %s1%"
"Attrib_DispenserBuildCost"							"Verbraucht %s1% Metall für Dispenser"
"Attrib_SentrygunBuildCost"							"Verbraucht %s1% Metall für Sentrygun"
"Attrib_JumpPadBuildCost"							"Verbraucht %s1% Metall für Sprungplattformen"
"Attrib_NoPrimaryAmmoFromDispensersAlways"			"Dispenser gibt keine Munition aus"
"Attrib_MetalOnSentryKill"							"Beim Sentry-Kill: +%s1 Metall"
"Attrib_SentryKnockback_Increased"					"Sentrygun verursacht +%s1% Rückstoß"
"Attrib_SentryKnockback_Decreased"					"Sentrygun verursacht %s1% Rückstoß"
"Attrib_SentryTurnRate_Increased"					"Sentrygun dreht +%s1% schneller"
"Attrib_SentryTurnRate_Decreased"					"Sentrygun dreht %s1% langsamer"
"Attrib_HealingMedigunReceivedBonus"				"+%s1% Gesundheit der Medigun für Trägers"
"Attrib_HealingMedigunReceivedPenalty"				"%s1% Gesundheit der Medigun für Trägers"
"Attrib_HealingMedigunReceivedActiveBonus"			"+%s1% Gesundheit der Medigun, wenn aktiv"
"Attrib_HealingMedigunReceivedActivePenalty"		"%s1% Gesundheit der Medigun, wenn aktiv"
"Attrib_HealingDispenserReceivedBonus"				"+%s1% Gesundheit von Dispenser für Träger"
"Attrib_HealingDispenserReceivedPenalty"			"%s1% Gesundheit von Dispenser für Träger"
"Attrib_HealingDispenserReceivedActiveBonus"		"+%s1% Gesundheit von Dispenser, wenn aktiv"
"Attrib_HealingDispenserReceivedActivePenalty"		"%s1% Gesundheit von Dispenser, wenn aktiv"
"Attrib_DispenserCanOverhealOnWearer"				"Dispenser überheilt für Träger"
"Attrib_DispenserCanOverhealOnActive"				"Dispenser überheilt, wenn aktiv"
"Attrib_EverythingCanOverhealOnWearer"				"Kann für Träger alles überheilen"
"Attrib_EverythingCanOverhealOnActive"				"Kann, wenn aktiv, alles überheilen"
"Attrib_NoCritHeals"								"Keine Krit-Heilungen: Heilungsrate steigt nicht auf, wenn Ziel außerhalb des Kampfes geheilt wird"
"Attrib_HealthKitsCanOverhealOnWearer"				"Medikits überheilen sich für Träger"
"Attrib_HealthKitsCanOverhealOnActive"				"Medikits überheilen sich, wenn aktiv"
"Attrib_HealingReceivedActiveBonus"					"+%s1% Gesundheit durch Heiler, wenn aktiv"
"Attrib_HealingReceivedActivePenalty"				"%s1% Gesundheit durch Heiler, wenn aktiv"
"Attrib_HealthFromPacks_Active_Increased"			"+%s1% Gesundheit durch Medikits, wenn aktiv"
"Attrib_HealthFromPacks_Active_Decreased"			"%s1% Gesundheit durch Medikits, wenn aktiv"
"Attrib_DamageDelaysRegeneration"					"Schaden erleiden verzögert die Regeneration um %s1s"
"Attrib_DestroyGrenadesDetonateOwn"					"Explosion zerstört feindliche Granaten und detoniert Ihre eigenen"
"Attrib_HoldFirePreventDetonation"					"Feuertaste halten: Verhindert Granatendetonation"
"Attrib_CritAirborneEnemies"						"Kritische Treffer für Feinden in der Luft"
"Attrib_ModCritAirborneDirectHitOnly"				"Direkter Treffer auf Feinde in der Luft versursacht Krit"
"Attrib_ObjectivesGiveCrits"						"Fügt Feinden, die Punkte erobern, verteidigen oder Flaggen tragen, Krits zu"
"Attrib_AddAmmoOnDirectHit"							"Bei Volltreffer: %s1 Munition erhalten"
"Attrib_AddAmmoOnDirectHitKill"						"Bei Volltreffer-Kill:: %s1 Munition erhalten"
"Attrib_AddAmmoOnKill"								"Beim Töten: %s1 Munition erhalten"
"Attrib_MinicritVsWet"								"Immer Mini-Krits bei nassen Spielern"
"Attrib_TakeMinicritsProjectileAirborne"			"Projektile in der Luft versursacht Mini-Krits"
"Attrib_HealOnSmack"								"Teamkameraden mit maximaler Ladung treffen, um sie vollständig zu heilen"
"Attrib_MultDamageCrit"								"Kritische Treffer verursacht %s1% mehr Schaden"
"Attrib_DropTeamHealthPackOnKill"					"Beim Töten: Lässt ein Team-Medikit fallen"
"Attrib_PassiveAmmoHolstered"						"Lädt automatisch nach, wenn nicht aktiv"
"Attrib_Backstab"									"Stechen Sie einen Feind von hinten ab mit einem Rückenstich"
"Attrib_UpgradeRepairBuildings"						"Verbündete Gebäude draufschlagen, um den Bauvorgang zu beschleunigen, upzugraden und zu reparieren"
"Attrib_AltFire_DetonateStickybombs"				"Alt.-Feuer: Detoniert alle Haftbomben"
"Attrib_AltFire_Airblast"							"Alt.-Feuer: Gibt einen Airblast aus"
"Attrib_AltFire_Cloak"								"Alt.-Feuer: Sie werden unsichtbar"
"Attrib_SapBuildings"								"Deaktiviert und zerstört langsam feindliche Gebäude\nSie enttarnen sich nicht bei Verwendung"
"Attrib_ReloadNotActive"							"Diese Waffe lädt autom. nach, wenn nicht aktiv"
"Attrib_Sandvich"									"Essen, um bis zu 120 Gesundheit wiederherzustellen\nAlt.-Feuer: Mit einem Freund teilen (mittleres Medikit)"
"Attrib_AltFire_MinicritBoost"						"Alt.-Feuer: Ein Teammitglied Mini-Krit-Boost geben"
"Attrib_SplitsIntoBomblets"							"Explodiert nach einigen Sekunden zu 4 kleineren Dynamitstangen"
"Attrib_DisabledByWrench"							"Kann mit einem Schraubenschlüssel entschärft werden"
"Attrib_Coilgun"									"Voll aufgeladene Schüsse prallen ab und explodiert in Ihrer Hand, wenn sie überladen wird"
"Attrib_DamageAffectedByCharge"						"Je länger Sie den Schuss aufladen, desto höher wird der Schaden"
"Attrib_JumpPadNoUpgrade"							"Sprungplattform kann nicht upgegradet werden"
"Attrib_AltFire_HasteBoost"							"Alt.-Feuer: Ein Teammitglied Hast-Boost geben"
"Attrib_AltFire_UberBubble"							"Alt.-Feuer: Feuert ein Gerät und erzeugt eine Blase der Unverwundbarkeit im näheren Umkreis"

// ----------------------------------------------------------------
// Map strings
// ----------------------------------------------------------------

// cp_amaranth
"Amaranth_cap_A"	"die Lagerhäuser"
"Amaranth_cap_B"	"Versandseinrichtung von Team RED"

// 4dom_hydro
"Hydro_dom_cap_warehouse"	"Eroberungsp. A, Lagerhaus"
"Hydro_dom_cap_radar_dish"	"Eroberungsp. B, Radarschüssel"
"Hydro_dom_cap_power_plant"	"Eroberungsp. C, Kraftwerk"
"Hydro_dom_cap_dam"			"Eroberungsp. D, Damm"

// vip_mineside
"vip_mineside_description"	"Missionsziel:
Team RED muss den VIP aufhalten, die Fluchtzone zu erreichen, um zu gewinnen. Team BLU muss den VIP vor Ablauf der Zeit in die Fluchtzone eskortieren, um zu gewinnen.

Bemerkungen:
Die Fluchtzone kann erst geöffnet werden, wenn Sie das Gerät im Kontrollraum neben dem Tor der Fluchtzone abgeben.

Wenn Team BLU das Gerät ausliefert, zählt der Timer der Tore von 60 Sekunden herunter, bevor er sich wieder schließt."

"Mineside_setup_goal_red"	"Den VIP töten, um ihn daran zu hindern, die Fluchtzone zu erreichen. Verhindern Sie, dass er das Gerät ergreift."
"Mineside_setup_goal_blu"	"Den VIP zur Fluchtzone eskortieren. Das Gerät im Kontrollraum abliefern, um das Tor zu öffnen."

"Mineside_escape_zone"	"der Fluchtunnel"

// dom_oilcanyon
"Oilcanyon_cap_A"	"Eroberungsp. A, die Schlucht"
"Oilcanyon_cap_B"	"Eroberungsp. B, der Laserkanone"
"Oilcanyon_cap_C"	"Eroberungsp. C, die Raffinerie"

// vip_trainyard
"Trainyard_escape_zone"	"das Fluchtfahrzeug"

// vip_harbor
"Harbor_cap_1"			"die Laderampe"
"Harbor_cap_2"			"das Hafengebiet"
"Harbor_cap_3"			"das Lagerhaus"

// 4dom_krepost
"dom_krepost_description"	"Missionsziel:
Zum gewinnen muss jedes Team den gerade aktiven Kontrollpunkt erobern und halten, um Punkte zu erhalten.

Der aktive Kontrollpunkt wechselt alle 60 Sekunden zur Festung eines zufälligen Teams.

Bemerkungen:
Angreifen eines Kontrollpunkts verhindert, dass der Gegner Punkte gewinnt.

Beim erobern eines Kontrollpunktes verhindert, dass der Gegner mit diesem Kontrollpunkt Punkte gewinnt.

Nur mit Nahkampfwaffen kämpfen ist ein ehrenvoller Kampf!"

"Krepost_cap_red"	"RED's Festung"
"Krepost_cap_blu"	"BLU's Festung"
"Krepost_cap_grn"	"GRN's Festung"
"Krepost_cap_ylw"	"YLW's Festung"

"Krepost_attack_red"	"RED's Tor ist offen!"
"Krepost_attack_blu"	"BLU's Tor ist offen!"
"Krepost_attack_grn"	"GRN's Tor ist offen!"
"Krepost_attack_ylw"	"YLW's Tor ist offen!"

// td_caper
"Caper_cap_A"	"Eroberungsp. A, der Laser-Turm"
"Caper_cap_B"	"Eroberungsp. B, die Silos"
"Caper_cap_C"	"Eroberungsp. C, Kanalisation"

// vipr_2bridge
